service_scope,year,pos,sc_no,po_no,contract_type,status,vendor,description,net_gr,gr_vat,con_val,open_po,po_amt,sc_amt,category,req_raw,cost_center,req_date,conf_no,con_date,conf_from,conf_to,pay_freq,purchaser,supplier,asset,remark,asset_num,record_type,action,problem,auto_fix,sc_import_error,po_import_error,gr_import_error
engineering Service,,112,,7600051926,FC,PO Approved,"Porsche Engineering Co., Ltd.",C/EG Vehicle software refresh and debug__FC 2.0,,,,,86937327.09,,,"Sun, Jialing",,,,,2026-03-11 00:00:00,2028-12-31 00:00:00,,,,,,,PO Approved,Imported,,,,,
engineering Service,,111,,7600051284,FC,PO Approved,Segula Technologies Wuhan Co.Ltd,Mechanics__FC 2.0,,,,,26882838.4,,,"Sun, Jialing",,,,,2025-12-31 00:00:00,2028-12-31 00:00:00,,,,,,,PO Approved,Imported,,,,,
engineering Service,,9,,7600051119,FC,PO Approved,"Zynit China Co., Ltd",Synergy project Extension,,,,,5301104.43,,,"Sun, Jialing",,,,,2025-12-01 00:00:00,2026-11-30 00:00:00,,"Bai, Xue",,N,,,PO Approved,Imported,,,,,
engineering Service,,97,,7600052179,FC,PO Approved,"Akkodis Beijing Co., Ltd.",Logistic__FC 2.0,,,,,815405,,,"Sun, Jialing",,,,,2026-06-01 00:00:00,2028-12-31 00:00:00,,,,,,,PO Approved,Imported,,,,,
engineering Service,,128,,7600052906,FC,PO Approved,Segula Technologies Wuhan Co.Ltd,Business trip of Segula_FC 2.0,,,,,346143,,,"Sun, Jialing",,,,,2026-06-18 00:00:00,2028-12-31 00:00:00,,Yao Ying,,,,,PO Approved,Imported,,,,,
engineering Service,,129,,7600052909,FC,PO Approved,"Porsche Engineering Co., Ltd.",Business trip of Porsche_FC 2.0,,,,,1140030,,,"Sun, Jialing",,,,,2026-06-18 00:00:00,2028-12-31 00:00:00,,Yao Ying,,,,,PO Approved,Imported,,,,,
Test car rental,,,,7300063480,PO under FC,PO Approved,"BeijingJinTianShunDaBusinessServiceCo.,Ltd",Competitor Car rental-2025 rest,,,,6993231,6993231,,"Ye, Xiaorui","Ye, Xiaorui",60473000,,,,,2025-12-31 00:00:00,,"Zhang, Te",,,,,PO Approved,Imported,,,,,
Test car rental,,,,7600050855,FC,PO Approved,"BeijingJinTianShunDaBusinessServiceCo.,Ltd",Competitor Car rental-2026-2028,,,,,27957782,,"Ye, Xiaorui","Ye, Xiaorui",60473000,,,,2026-01-01 00:00:00,2028-12-31 00:00:00,,"Yao, Ying",,,,,PO Approved,Imported,,,,,
Testing support,,,,7600051497,FC,PO Approved,ShanghaiZhongchengAutomotive,FC Whole Vehicle road test,,,,,1836450.64,,,"Ye, Xiaorui",60473000,,,,2026-02-05 00:00:00,2027-02-04 00:00:00,,"Bai, Xue",,,,,PO Approved,Imported,,,,,
Import&Export&cusoms clearance,,14,1010966046,7300050951,PO under FC,PO Approved,"Beijing Motivation Infinity International Logistics Co.,Ltd",Import &Export service for 2024 and 2025,,,,14373774.9,14373774.9,14373774.9,Import&Export,Zhou Liwei,60473000,2023-10-31 00:00:00,,,2024-01-01 00:00:00,2027.12.31,Quarterly,"Sun, Feimeng",,N,#REF!,,PO Approved,Imported,,,,,
Import&Export&cusoms clearance,2024,,1010966046,7300050951,,GR Partially triggered,"Beijing Motivation Infinity International Logistics Co.,Ltd",Import &Export service_Q1 2024,1113604.45,1180420.72,1125493.7,,,,Import&Export,Zhou Liwei,60473000,2024-06-20 00:00:00,5004732642,2024-06-20 00:00:00,,,,,,,#REF!,,GR Partially triggered,error,,,,,PO PO-V2SE7PP-20260708-010 not found
Import&Export&cusoms clearance,2024,,1010966046,7300050951,,GR Partially triggered,"Beijing Motivation Infinity International Logistics Co.,Ltd",Import &Export service_Q2 2024 FC,688205.04,729497.34,691568.42,,,,Import&Export,Zhou Liwei,60473000,2024-09-10 00:00:00,5004829617,2024-09-10 00:00:00,,,,,,,#REF!,,GR Partially triggered,error,,,,,PO PO-V2SE7PP-20260708-010 not found
Import&Export&cusoms clearance,2024,,1010966046,7300050951,,GR Partially triggered,"Beijing Motivation Infinity International Logistics Co.,Ltd",Import &Export service_Q3 2024 FC,1211667.48,1283466.53,1220414.85,,,,,Zhou Liwei,60473000,2024-11-29 00:00:00,5004917761,2024-11-29 00:00:00,,,,,,,#REF!,,GR Partially triggered,error,,,,,PO PO-V2SE7PP-20260708-010 not found
Import&Export&cusoms clearance,2024,,1010966046,7300050951,,GR Partially triggered,"Beijing Motivation Infinity International Logistics Co.,Ltd",Import &Export service_Q4 part 1,374634.41,397112.47,406804.95,,,,,Zhou Liwei,60473000,2024-12-11 00:00:00,5004935540,2024-12-11 00:00:00,,,,,,,,,GR Partially triggered,error,,,,,PO PO-V2SE7PP-20260708-010 not found
Import&Export&cusoms clearance,2024_Provision,,1010966046,7300050951,,GR Partially triggered,"Beijing Motivation Infinity International Logistics Co.,Ltd",test car import/export_Q4 part2_Provision,636471.9,674660.21,637327.76,,,,,Zhou Liwei,60473000,2024-03-14 00:00:00,5005025189,2024-03-14 00:00:00,,,,,,,#REF!,,GR Partially triggered,error,,,,,PO PO-V2SE7PP-20260708-010 not found
Import&Export&cusoms clearance,2025,,1010966046,7300050951,,GR Partially triggered,"Beijing Motivation Infinity International Logistics Co.,Ltd",BMI test car import/export——Q1 2025,809207.78,857760.25,867850.56,,,,,Zhou Liwei,60473000,2025-05-22 00:00:00,5005092387,2025-05-22 00:00:00,,,,,,,,,GR Partially triggered,error,,,,,PO PO-V2SE7PP-20260708-010 not found
Import&Export&cusoms clearance,2025,,1010966046,7300050951,,GR Partially triggered,"Beijing Motivation Infinity International Logistics Co.,Ltd",BMI test car import/export——Q2 2025,880455.04,933282.34,935651.39,,,,,Zhou Liwei,60473000,2025-09-12 00:00:00,5005195624,2025-09-12 00:00:00,,,,,,,,,GR Partially triggered,error,,,,,PO PO-V2SE7PP-20260708-010 not found
Import&Export&cusoms clearance,2025,,1010966046,7300050951,,GR Partially triggered,"Beijing Motivation Infinity International Logistics Co.,Ltd",BMI test car import/export——Q3 2025,1232534.08,1305224.81,1315336.01,,,,,Zhou Liwei,60473000,2025-11-05 00:00:00,5005247300,2025-11-05 00:00:00,,,,,,,,,GR Partially triggered,error,,,,,PO PO-V2SE7PP-20260708-010 not found
Import&Export&cusoms clearance,,,1010966046,7300050951,,GR Partially triggered,"Beijing Motivation Infinity International Logistics Co.,Ltd",BMI test car import/export—2025 10-11,796934.8,844750.89,800049.74,,,,,Zhou Liwei,60473000,2025-12-15 00:00:00,5005298167,2025-12-15 00:00:00,,,,,,,,,GR Partially triggered,error,,,,,PO PO-V2SE7PP-20260708-010 not found
Import&Export&cusoms clearance,,,1010966046,7300050951,,GR Partially triggered,"Beijing Motivation Infinity International Logistics Co.,Ltd",BMI test car import/export—2025 12,104829,111118.74,108481.32,,,,,Zhou Liwei,60473000,2026-02-12 00:00:00,5005346430,2026-02-12 00:00:00,,,,,,,,,GR Partially triggered,error,,,,,PO PO-V2SE7PP-20260708-010 not found
Parts,,34,1010998908,7300050814,Contract,PO Approved,上海圆迈贸易有限公司,EGW_Maintenance Repair Tools 2023-2025,,,,1431962.3,1431962.3,3202469.361,Parts,"Su, Tong",60473000,2023-11-09 00:00:00,,,2025-09-10 00:00:00,2026-09-09 00:00:00,Monthly,"Song, Binglun",,N,#REF!,,PO Approved,Imported,,,,,
Parts,2024,,1010998908,7300050814,,GR Partially triggered,上海圆迈贸易有限公司,EGW_Maintenance Repair Tools,544.15,614.89,1431.96,,,,,"Su, Tong",60473000,2024-06-09 00:00:00,5004826587,2024-06-09 00:00:00,2025-09-10 00:00:00,2026-09-09 00:00:00,Monthly,"Song, Binglun",,,#REF!,,GR Partially triggered,error,,,,,PO PO-V2SE7PP-20260708-011 not found
Parts,2024,,1010998908,7300050814,,GR Partially triggered,上海圆迈贸易有限公司,EGW_Maintenance Repair Tools,509.4,575.62,1431.96,,,,,"Su, Tong",60473000,2024-09-25 00:00:00,5004844460,2024-09-25 00:00:00,2025-09-10 00:00:00,2026-09-09 00:00:00,Monthly,"Song, Binglun",,,#REF!,,GR Partially triggered,error,,,,,PO PO-V2SE7PP-20260708-011 not found
Parts,2024,,1010998908,7300050814,,GR Partially triggered,上海圆迈贸易有限公司,EGW_Maintenance Repair Tools,31824.69,35961.9,37231.02,,,,,"Su, Tong",60473000,2024-11-11 00:00:00,5004893259,2024-11-11 00:00:00,2025-09-10 00:00:00,2026-09-09 00:00:00,Monthly,"Song, Binglun",,,#REF!,,GR Partially triggered,error,,,,,PO PO-V2SE7PP-20260708-011 not found
Parts,2024,,1010998908,7300050814,,GR Partially triggered,上海圆迈贸易有限公司,EGW_Maintenance Repair Tools_Nov.,113944.27,128757.03,128876.61,,,,,"Su, Tong",60473000,2024-11-19 00:00:00,5004903413,2024-11-19 00:00:00,2025-09-10 00:00:00,2026-09-09 00:00:00,Monthly,"Song, Binglun",,,#REF!,,GR Partially triggered,error,,,,,PO PO-V2SE7PP-20260708-011 not found
Parts,2024,,1010998908,7300050814,,GR Partially triggered,上海圆迈贸易有限公司,EGW_Maintenance Repair Tools_Nov. part2,10083.05,11393.85,11455.7,,,,,"Su, Tong",60473000,2024-12-11 00:00:00,5004935223,2024-12-11 00:00:00,2025-09-10 00:00:00,2026-09-09 00:00:00,Monthly,"Song, Binglun",,,#REF!,,GR Partially triggered,error,,,,,PO PO-V2SE7PP-20260708-011 not found
Parts,2025,,1010998908,7300050814,,GR Partially triggered,上海圆迈贸易有限公司,EGW_Maintenance Repair Tools Jan 2025,84338.96,95303.02,95941.47,,,,,"Su, Tong",60473000,2025-02-21 00:00:00,5005004700,2025-02-21 00:00:00,2025-09-10 00:00:00,2026-09-09 00:00:00,Monthly,"Song, Binglun",,,,,GR Partially triggered,error,,,,,PO PO-V2SE7PP-20260708-011 not found
