po_id,po_no,gr_no,requester_id,estimated_amount,con_value,tax_rate,goods_service_description,confirmation_name,delivery_from,delivery_to,last_delivery,status,is_cancellation,import_error,error_type
PO-V2SE7PP-20260709-010,7300050951,5004732642,U-EZHOLW0,1113604.45,1125493.7,,Import &Export service_Q1 2024,,2024-06-20 00:00:00,,,approved,N,,
PO-V2SE7PP-20260709-010,7300050951,5004829617,U-EZHOLW0,688205.04,691568.42,,Import &Export service_Q2 2024 FC,,2024-09-10 00:00:00,,,approved,N,,
PO-V2SE7PP-20260709-010,7300050951,5004917761,U-EZHOLW0,1211667.48,1220414.85,,Import &Export service_Q3 2024 FC,,2024-11-29 00:00:00,,,approved,N,,
PO-V2SE7PP-20260709-010,7300050951,5004935540,U-EZHOLW0,374634.41,406804.95,,Import &Export service_Q4 part 1,,2024-12-11 00:00:00,,,approved,N,,
PO-V2SE7PP-20260709-010,7300050951,5005025189,U-EZHOLW0,636471.9,637327.76,,test car import/export_Q4 part2_Provision,,2024-03-14 00:00:00,,,approved,N,,
PO-V2SE7PP-20260709-010,7300050951,5005092387,U-EZHOLW0,809207.78,867850.56,,BMI test car import/export——Q1 2025,,2025-05-22 00:00:00,,,approved,N,,
PO-V2SE7PP-20260709-010,7300050951,5005195624,U-EZHOLW0,880455.04,935651.39,,BMI test car import/export——Q2 2025,,2025-09-12 00:00:00,,,approved,N,,
PO-V2SE7PP-20260709-010,7300050951,5005247300,U-EZHOLW0,1232534.08,1315336.01,,BMI test car import/export——Q3 2025,,2025-11-05 00:00:00,,,approved,N,,
PO-V2SE7PP-20260709-010,7300050951,5005298167,U-EZHOLW0,796934.8,800049.74,,BMI test car import/export—2025 10-11,,2025-12-15 00:00:00,,,approved,N,,
PO-V2SE7PP-20260709-010,7300050951,5005346430,U-EZHOLW0,104829,108481.32,,BMI test car import/export—2025 12,,2026-02-12 00:00:00,,,approved,N,,
PO-V2SE7PP-20260709-011,7300050814,5004826587,U-UJWVFIH,544.15,1431.96,,EGW_Maintenance Repair Tools,,2025-09-10 00:00:00,2026-09-09 00:00:00,,approved,N,,
PO-V2SE7PP-20260709-011,7300050814,5004844460,U-UJWVFIH,509.4,1431.96,,EGW_Maintenance Repair Tools,,2025-09-10 00:00:00,2026-09-09 00:00:00,,approved,N,,
