po_id,sc_id,sc_no,vendor_id,vendor_name,po_no,request_type,po_amount,requester_id,contract_from,contract_to,contract_no,payment_frequency,contract_pos,contract_type,cost_center,purchaser,status,import_error,error_type
,,,V000055,"Porsche Engineering Co., Ltd.",7600051926,FC,86937327.09,U-FPBTMS5,2026-03-11 00:00:00,2028-12-31 00:00:00,,,112,FC,,,active,,
,,,V000056,Segula Technologies Wuhan Co.Ltd,7600051284,FC,26882838.4,U-FPBTMS5,2025-12-31 00:00:00,2028-12-31 00:00:00,,,111,FC,,,active,,
,,,V000029,"Zynit China Co., Ltd",7600051119,FC,5301104.43,U-FPBTMS5,2025-12-01 00:00:00,2026-11-30 00:00:00,,,9,FC,,"Bai, Xue",active,,
,,,V000069,"Akkodis Beijing Co., Ltd.",7600052179,FC,815405,U-FPBTMS5,2026-06-01 00:00:00,2028-12-31 00:00:00,,,97,FC,,,active,,
,,,V000056,Segula Technologies Wuhan Co.Ltd,7600052906,FC,346143,U-FPBTMS5,2026-06-18 00:00:00,2028-12-31 00:00:00,,,128,FC,,Yao Ying,active,,
,,,V000055,"Porsche Engineering Co., Ltd.",7600052909,FC,1140030,U-FPBTMS5,2026-06-18 00:00:00,2028-12-31 00:00:00,,,129,FC,,Yao Ying,active,,
,SC-V2SE7PP-20260709-017,1012375831,V000012,"BeijingJinTianShunDaBusinessServiceCo.,Ltd",7300063480,call_off,6993231,U-FO5LZ6P,,2025-12-31 00:00:00,,,,PO under FC,60473000,"Zhang, Te",active,,
,,,V000012,"BeijingJinTianShunDaBusinessServiceCo.,Ltd",7600050855,FC,27957782,U-FO5LZ6P,2026-01-01 00:00:00,2028-12-31 00:00:00,,,,FC,60473000,"Yao, Ying",active,,
,,,V000019,ShanghaiZhongchengAutomotive,7600051497,FC,1836450.64,U-FO5LZ6P,2026-02-05 00:00:00,2027-02-04 00:00:00,,,,FC,60473000,"Bai, Xue",active,,
,SC-V2SE7PP-20260709-001,1010966046,V000004,"Beijing Motivation Infinity International Logistics Co.,Ltd",7300050951,call_off,14373774.9,U-EZHOLW0,2024-01-01 00:00:00,2027.12.31,,Quarterly,14,PO under FC,60473000,"Sun, Feimeng",active,,
,SC-V2SE7PP-20260709-002,1010998908,V000011,上海圆迈贸易有限公司,7300050814,new,1431962.3,U-UJWVFIH,2025-09-10 00:00:00,2026-09-09 00:00:00,,Monthly,34,Contract,60473000,"Song, Binglun",active,,
,SC-V2SE7PP-20260709-003,1011106627,V000032,北京市计量检测科学研究院,7300050963,new,50900,U-VLLPH0Z,2023-12-19 00:00:00,2026-08-30 00:00:00,,,124,PO,60473000,,active,,
,SC-V2SE7PP-20260709-004,1011218432,V000031,"Beijing Jin Rui Chi  Car  Service Co.,Ltd",7300052100,new,179606.4,U-EZHOLW0,2024-02-05 00:00:00,2026.13.31,,N/A,44,PO,60473000,"Song, Binglun",active,,
