sc_no,vendor_id,vendor_name,requester_id,request_type,cost_center,sc_amount,service_period_start,service_period_end,service_scope,description,currency,asset,asset_nums,internal_system_number,calloff_po_id,status,import_error,error_type
1010966046,,"Beijing Motivation Infinity International Logistics Co.,Ltd",U-EZHOLW0,call_off,60473000,14373774.9,2024-01-01 00:00:00,2027.12.31,Import&Export&cusoms clearance,Import &Export service for 2024 and 2025,CNY,N,,N/A,,finished,,
1010998908,,上海圆迈贸易有限公司,U-UJWVFIH,new,60473000,3202469.361,2025-09-10 00:00:00,2026-09-09 00:00:00,Parts,EGW_Maintenance Repair Tools 2023-2025,CNY,N,,,,finished,,
1011106627,,北京市计量检测科学研究院,U-VLLPH0Z,new,60473000,50900,2023-12-19 00:00:00,2026-08-30 00:00:00,Maintenance&Calibration,Tool and equipment calibration,CNY,N,,,,finished,,
1011218432,,"Beijing Jin Rui Chi  Car  Service Co.,Ltd",U-EZHOLW0,new,60473000,179606.4,2024-02-05 00:00:00,2026.13.31,General Service,Car & workshop floor cleaning 01.07.24-30.06.26,CNY,N,,,,finished,,
1011257210,,Beijing Yilu Pingan Automobile Rescue service co.. Ltd.,U-EZHOLW0,new,60473000,214120,2024-06-06 00:00:00,2026.6.30,Transportation,Trailer inner city-Outside of BJ 01.07.24-30.06.26,CNY,N,,,,finished,,
1011340907,,TeamOne(Beijing)EngineeringandConsultingLtd.,U-FPBTMS5,new,60473000,1643000,2024-08-11 00:00:00,2026-08-10 00:00:00,engineering Service,Extension TeamOne contract 2 years,CNY,N,,,,finished,,
1011381813,,Beijing Yilu Pingan Automobile Rescue service co.. Ltd.,U-EZHOLW0,new,60473000,188742,2024-06-05 00:00:00,2026.6.30,Transportation,Inner city charter trailer 01.07.24-30.06.26,CNY,N,,,,finished,,
1011395193,,"ZERO SCM LOGISTICS (BEIJING) CO.,LTD",U-EZHOLW0,call_off,60473000,36259002.6,2024-01-01 00:00:00,2026-09-30 00:00:00,Transportation,Domestic transport_2024.6.1-2026.9.30,CNY,N,,N/A,,finished,,
1011442962,,伟翔联合环保科技发展（北京）有限公司,U-VLLPH0Z,new,60473000,100,2024-04-12 00:00:00,2030-12-31 00:00:00,General Service,confidential components destruction,CNY,N,,,,finished,,
1011794761,,上海晓荣物流有限公司,U-FPBTMS5,call_off,60473000,64000,2024-09-01 00:00:00,2028-12-31 00:00:00,Transportation,DG Transportation for Batteries transportation to VWATJ,CNY,N,,N/A,,finished,,
1012052507,,CTS International Logistics Corporation Limited-Beijingbranch,U-EZHOLW0,new,60473000,1216880,2025-01-23 00:00:00,2026.12.31,Import&Export&cusoms clearance,U-turn service testing vehicle,CNY,N,,,,finished,,
1012113972,,Beijing Yilu Pingan Automobile Rescue service co.. Ltd.,U-EZHOLW0,new,60473000,1398060.5,2025.1.1,2026.6.30,Transportation,trailer inner city,CNY,N,,,,finished,,
1012176900,,廊坊开发区欧特克精密电子线束制造有限公司,U-UJWVFIH,new,60473000,1069556.3,2025-05-13 00:00:00,2026-05-01 00:00:00,Harness,PPEproject_Harnnessprocessing,CNY,N,,,,approved,,
1012335355,,上海本质物流有限公司,U-FPBTMS5,call_off,60473000,900000,2025-11-01 00:00:00,2028-06-30 00:00:00,Transportation,Domestic DG goods Transportation 2025.7.1-2028.06.30,CNY,N,,N/A,,approved,,
1012358305,,上海本质物流有限公司,U-VLLPH0Z,new,60473000,190000,,,Transportation,Additioanl SC for Domestic DG goods Transportation  2025.7.1-2029.12.31,CNY,N,,,,approved,,
1012358257,,"BeijingJinTianShunDaBusinessServiceCo.,Ltd",U-EZHOLW0,new,60473000,6141004,2026.1.1,2027.12.31,Driver,Test driver service from 2025-05-01 to 2028-03-31,CNY,N,,,,approved,,
1012375831,,"BeijingJinTianShunDaBusinessServiceCo.,Ltd",U-FO5LZ6P,call_off,60473000,6993231,,2028-12-31 00:00:00,Test car rental,Contract extension--test vehicle rental,CNY,N,,N/A,,approved,,
1012071353,,"China Security & Protection Group Co.,Ltd",U-EZHOLW0,call_off,60473000,310878,2025.3.15,2028.3.14,Security,Sercurity service for prototype 2025+2026,CNY,N,,N/A,,finished,,
1012412764,,中国平安财产保险股份有限公司北京分公司,U-EZHOLW0,new,60473000,1890200,2025.1.1,2027.4.30,Insurance,Test vehicle insurance 2025.04.23-2026.04.30,CNY,N,,,,approved,,
1011953156,,全球国合国际货运（北京）有限公司,U-FPBTMS5,call_off,60473000,254733,2025-02-01 00:00:00,2028-02-29 00:00:00,Transportation,Domestic general cargo transport_北京&上海出发,CNY,N,,N/A,,approved,,
1012511693,,"BeijingJinTianShunDaBusinessServiceCo.,Ltd",U-EZHOLW0,new,60473000,1414866.8,,,Driver,Test driver service until 01.12.2025,CNY,N,,,,approved,,
1012596000,,"BeijingDongxueDataEngineeringCo,.Ltd",U-EZHOLW0,new,60473000,37500,2025.8.1,2027.12.31,General Service,GPS for test vehicle,CNY,N,,,,approved,,
1012605723,,"Beijing Jin Rui Chi  Car  Service Co.,Ltd",U-EZHOLW0,new,60473000,27984,2025.8.1,2027.12.31,General Service,Test vehicle film,CNY,N,,,,approved,,
1012611581,,"Beijing Konggang Jingfei Automotive Service Co.,Ltd",U-EZHOLW0,new,60473000,14416,2025.7.1,2027.12.31,General Service,change windshield,CNY,N,,,,approved,,
1012632352,,北京动力无限国际物流有限公司,U-VLLPH0Z,new,60473000,27560,2025-07-25 00:00:00,2026-04-13 00:00:00,Import&Export&cusoms clearance,Express Clearance&express&inspection payment,CNY,N,,,,approved,,
1012641412,,"Zhejiang Ruiye Technology Co., Ltd.",U-FPBTMS5,new,60473000,213800,2025-01-27 00:00:00,,Equipment,Firefighting robot 消防机器人,CNY,Fix asset No.: 4301011237,,,,finished,,
1012656949,,"Ping An P&C Insurance Company of China, Ltd. Guangdong Branch",U-EZHOLW0,new,60473000,1770000,2025.8.6,2028.12.31,Insurance,Commercial insurance of test vehicle,CNY,N,,,,approved,,
1012682730,,上海西上海奥杰汽车销售服务有限公司,U-UJWVFIH,new,60473000,60000,2025-10-10 00:00:00,2026-10-10 00:00:00,Dealers,Shanghai test car maintenance service,CNY,N,,,,approved,,
1012764025,,"Zynit China Co., Ltd",U-FPBTMS5,call_off,60473000,2500000,2024-03-04 00:00:00,2026-04-30 00:00:00,engineering Service,Oniste support service for workshop_Zynit_additional call offed SC application,CNY,N,,7600041377,7600041377,approved,,
1012830074,,ShanghaiZhongchengAutomotive,U-FO5LZ6P,call_off,60473000,47240.6,,2027-02-04 00:00:00,Testing support,Additional Travel Cost for FC7600041849,CNY,N,,7600041849,7600041849,approved,,
1012837833,,万向一二三股份公司,U-UJWVFIH,new,60473000,50850,2025-10-15 00:00:00,2026-06-15 00:00:00,Parts,Q7/Q9 48V battery,CNY,N,,,,finished,,
1012841884,,"Shanghai Xiaorong Logistics Co., Ltd",U-FPBTMS5,new,60473000,116897,2025-10-20 00:00:00,2028-02-28 00:00:00,Transportation,Gen. cargo transport_additional routes until 28.02.2028,CNY,N,,,,finished,,
1012857094,,"Beijing Jin Rui Chi  Car  Service Co.,Ltd",U-EZHOLW0,new,60473000,40810,2025.10.22,2027.12.31,General Service,test vehicle camouflage remove*50,CNY,N,,,,approved,,
